ID,artist,title,picture data,jpg url,image_path,born-died,period,school,url,base,nationality,image_exists,resolution,color_type,file_size
16757,GIOTTO di Bondone,crucifixion,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/09christ.jpg,complete/artwork\16757.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*850,true color,138 kb
16758,GIOTTO di Bondone,christ among the doctors,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/08christ.jpg,complete/artwork\16758.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*822,true color,164 kb
16759,GIOTTO di Bondone,return of christ to jerusalem,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/07christ.jpg,complete/artwork\16759.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*825,true color,151 kb
16760,GIOTTO di Bondone,the flight into egypt,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/06christ.jpg,complete/artwork\16760.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*820,true color,127 kb
16761,GIOTTO di Bondone,the massacre of the innocents,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/05christ.jpg,complete/artwork\16761.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*827,true color,140 kb
16762,GIOTTO di Bondone,presentation of christ in the temple,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/04christ.jpg,complete/artwork\16762.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*819,true color,149 kb
16763,GIOTTO di Bondone,the adoration of the magi,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/03christ.jpg,complete/artwork\16763.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*813,true color,134 kb
16764,GIOTTO di Bondone,nativity,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/02christ.jpg,complete/artwork\16764.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*823,true color,147 kb
16765,GIOTTO di Bondone,the visitation,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/01christ.jpg,complete/artwork\16765.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*822,true color,122 kb
16766,GIOTTO di Bondone,vault of the north transept (3),"1315-20, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/00ceili4.jpg,complete/artwork\16766.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1174,true color,237 kb
16767,GIOTTO di Bondone,vault of the north transept (3),"1315-20, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/00ceili3.jpg,complete/artwork\16767.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,868*1176,true color,181 kb
16768,GIOTTO di Bondone,view of the north transept (2),"1315-20, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/00ceili2.jpg,complete/artwork\16768.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,810*1113,true color,193 kb
16769,GIOTTO di Bondone,view of the north transept (1),"1315-20, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/00ceili1.jpg,complete/artwork\16769.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,810*1101,true color,183 kb
16770,GIOTTO di Bondone,raising of the boy in sessa,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/11christ.jpg,complete/artwork\16770.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1109*800,true color,158 kb
16771,GIOTTO di Bondone,apocalyptic christ,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/51border.jpg,complete/artwork\16771.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,848*1100,true color,233 kb
16772,GIOTTO di Bondone,horseman of the apocalypse,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/52border.jpg,complete/artwork\16772.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1569,true color,218 kb
16773,GIOTTO di Bondone,horseman of the apocalypse,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/54border.jpg,complete/artwork\16773.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1580,true color,243 kb
16774,GIOTTO di Bondone,legend of st francis: 13. institution of the crib at greccio,"1297-1300, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc13.jpg,complete/artwork\16774.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,939*1001,true color,165 kb
16775,GIOTTO di Bondone,legend of st francis: 12. ecstasy of st francis (detail),"1297-1300, fresco, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc121.jpg,complete/artwork\16775.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,657*855,true color,80 kb
16776,GIOTTO di Bondone,legend of st francis: 12. ecstasy of st francis,"1297-1300, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc12.jpg,complete/artwork\16776.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,874*1001,true color,127 kb
16777,GIOTTO di Bondone,legend of st francis: 11. st francis before the sultan (trial by fire),"1297-1300, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc11.jpg,complete/artwork\16777.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,924*1001,true color,158 kb
16778,GIOTTO di Bondone,legend of st francis: 10. exorcism of the demons at arezzo (detail),"1297-99, fresco, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc101.jpg,complete/artwork\16778.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1007*1300,true color,245 kb
16779,GIOTTO di Bondone,legend of st francis: 10. exorcism of the demons at arezzo,"1297-99, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc10.jpg,complete/artwork\16779.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,864*1001,true color,138 kb
16780,GIOTTO di Bondone,legend of st francis: 9. vision of the thrones,"1297-99, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc09.jpg,complete/artwork\16780.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,870*1001,true color,136 kb
16781,GIOTTO di Bondone,legend of st francis: 8. vision of the flaming chariot,"1297-99, fresco, 270 x 230 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc08.jpg,complete/artwork\16781.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,871*1001,true color,136 kb
